Index, Number of instances, Number of prey, Number of carnivorous, Average prey production, Average prey eaten, Average carnivorous production, Average carnivorous eaten
0, 231, 160, 71, 0.0, 0.76, 0.0, 0.52
1, 231, 160, 71, 0.0, 1.15, 0.0, 0.52
2, 232, 161, 71, 0.01, 1.29, 0.0, 0.52
3, 232, 161, 71, 0.01, 1.36, 0.0, 0.52
4, 232, 161, 71, 0.01, 1.38, 0.0, 0.52
5, 233, 162, 71, 0.01, 1.38, 0.0, 0.52
6, 233, 162, 71, 0.01, 1.39, 0.0, 0.52
7, 236, 165, 71, 0.03, 1.38, 0.0, 0.52
8, 236, 165, 71, 0.03, 1.39, 0.0, 0.52
9, 237, 166, 71, 0.04, 1.4, 0.0, 0.52
10, 237, 166, 71, 0.04, 1.41, 0.0, 0.52
11, 237, 166, 71, 0.04, 1.42, 0.0, 0.52
12, 238, 167, 71, 0.04, 1.41, 0.0, 0.52
13, 239, 168, 71, 0.05, 1.4, 0.0, 0.52
14, 239, 168, 71, 0.05, 1.42, 0.0, 0.52
15, 239, 168, 71, 0.05, 1.42, 0.0, 0.52
16, 240, 169, 71, 0.05, 1.41, 0.0, 0.52
17, 240, 169, 71, 0.05, 1.42, 0.0, 0.52
18, 240, 169, 71, 0.05, 1.43, 0.0, 0.52
19, 240, 169, 71, 0.05, 1.43, 0.0, 0.52
20, 240, 169, 71, 0.05, 1.43, 0.0, 0.52
21, 241, 170, 71, 0.06, 1.42, 0.0, 0.52
22, 241, 170, 71, 0.06, 1.42, 0.0, 0.52
23, 243, 172, 71, 0.07, 1.4, 0.0, 0.52
24, 243, 172, 71, 0.07, 1.41, 0.0, 0.52
25, 244, 173, 71, 0.08, 1.41, 0.0, 0.52
26, 244, 173, 71, 0.08, 1.42, 0.0, 0.52
27, 244, 173, 71, 0.08, 1.42, 0.0, 0.52
28, 245, 174, 71, 0.08, 1.41, 0.0, 0.52
29, 245, 174, 71, 0.08, 1.41, 0.0, 0.52
30, 246, 175, 71, 0.09, 1.41, 0.0, 0.52
31, 248, 177, 71, 0.1, 1.39, 0.0, 0.52
32, 249, 178, 71, 0.1, 1.39, 0.0, 0.52
33, 250, 179, 71, 0.11, 1.4, 0.0, 0.52
34, 245, 174, 71, 0.11, 1.43, 0.0, 0.59
35, 246, 175, 71, 0.11, 1.43, 0.0, 0.59
36, 247, 176, 71, 0.12, 1.43, 0.0, 0.59
37, 249, 178, 71, 0.13, 1.55, 0.0, 0.59
38, 249, 178, 71, 0.13, 1.58, 0.0, 0.59
39, 251, 180, 71, 0.14, 1.57, 0.0, 0.59
40, 251, 180, 71, 0.14, 1.58, 0.0, 0.59
41, 252, 181, 71, 0.14, 1.57, 0.0, 0.59
42, 253, 182, 71, 0.15, 1.57, 0.0, 0.59
43, 253, 182, 71, 0.15, 1.59, 0.0, 0.59
44, 253, 182, 71, 0.15, 1.59, 0.0, 0.59
45, 253, 182, 71, 0.15, 1.59, 0.0, 0.59
46, 254, 182, 72, 0.15, 1.59, 0.01, 0.58
47, 254, 182, 72, 0.15, 1.59, 0.01, 0.58
48, 254, 182, 72, 0.15, 1.59, 0.01, 0.58
49, 256, 184, 72, 0.16, 1.57, 0.01, 0.58
50, 258, 186, 72, 0.17, 1.56, 0.01, 0.58
51, 258, 186, 72, 0.17, 1.59, 0.01, 0.58
52, 259, 187, 72, 0.17, 1.6, 0.01, 0.58
53, 260, 188, 72, 0.18, 1.6, 0.01, 0.58
54, 264, 192, 72, 0.19, 1.57, 0.01, 0.58
55, 266, 194, 72, 0.2, 1.58, 0.01, 0.58
56, 266, 194, 72, 0.2, 1.6, 0.01, 0.58
57, 267, 195, 72, 0.21, 1.6, 0.01, 0.58
58, 267, 195, 72, 0.21, 1.61, 0.01, 0.58
59, 268, 196, 72, 0.21, 1.6, 0.01, 0.58
60, 269, 197, 72, 0.21, 1.59, 0.01, 0.58
61, 269, 197, 72, 0.21, 1.6, 0.01, 0.58
62, 269, 197, 72, 0.21, 1.6, 0.01, 0.58
63, 270, 198, 72, 0.22, 1.6, 0.01, 0.58
64, 271, 198, 73, 0.22, 1.6, 0.03, 0.58
