Index, Number of instances, Number of prey, Number of carnivorous, Average prey production, Average prey eaten, Average carnivorous production, Average carnivorous eaten
0, 232, 82, 150, 0.0, 0.74, 0.0, 0.23
1, 232, 82, 150, 0.0, 1.2, 0.0, 0.23
2, 234, 83, 151, 0.01, 1.43, 0.01, 0.23
3, 234, 83, 151, 0.01, 1.53, 0.01, 0.23
4, 234, 83, 151, 0.01, 1.58, 0.01, 0.23
5, 234, 83, 151, 0.01, 1.59, 0.01, 0.23
6, 234, 83, 151, 0.01, 1.59, 0.01, 0.23
7, 236, 84, 152, 0.02, 1.57, 0.01, 0.22
8, 236, 84, 152, 0.02, 1.57, 0.01, 0.22
9, 236, 84, 152, 0.02, 1.57, 0.01, 0.22
10, 236, 84, 152, 0.02, 1.57, 0.01, 0.22
11, 236, 84, 152, 0.02, 1.57, 0.01, 0.22
12, 236, 84, 152, 0.02, 1.57, 0.01, 0.22
13, 237, 85, 152, 0.04, 1.55, 0.01, 0.22
14, 237, 85, 152, 0.04, 1.56, 0.01, 0.22
15, 237, 85, 152, 0.04, 1.56, 0.01, 0.22
16, 235, 83, 152, 0.04, 1.57, 0.01, 0.24
17, 234, 82, 152, 0.04, 1.55, 0.01, 0.24
18, 234, 82, 152, 0.04, 1.55, 0.01, 0.24
19, 235, 83, 152, 0.05, 1.53, 0.01, 0.24
20, 235, 83, 152, 0.05, 1.53, 0.01, 0.24
21, 235, 83, 152, 0.05, 1.53, 0.01, 0.24
22, 235, 83, 152, 0.05, 1.7, 0.01, 0.24
23, 235, 83, 152, 0.05, 1.78, 0.01, 0.24
24, 236, 84, 152, 0.06, 1.77, 0.01, 0.24
25, 238, 86, 152, 0.08, 1.74, 0.01, 0.24
26, 238, 86, 152, 0.08, 1.77, 0.01, 0.24
27, 240, 88, 152, 0.1, 1.74, 0.01, 0.24
28, 240, 88, 152, 0.1, 1.76, 0.01, 0.24
29, 240, 88, 152, 0.1, 1.77, 0.01, 0.24
30, 241, 88, 153, 0.1, 1.77, 0.02, 0.24
31, 241, 88, 153, 0.1, 1.77, 0.02, 0.24
32, 236, 83, 153, 0.11, 1.71, 0.02, 0.28
33, 236, 83, 153, 0.11, 1.72, 0.02, 0.28
34, 236, 83, 153, 0.11, 1.73, 0.02, 0.28
35, 236, 83, 153, 0.11, 1.76, 0.02, 0.28
36, 238, 85, 153, 0.13, 1.72, 0.02, 0.28
37, 238, 85, 153, 0.13, 1.74, 0.02, 0.28
38, 241, 88, 153, 0.16, 1.68, 0.02, 0.28
39, 241, 88, 153, 0.16, 1.7, 0.02, 0.28
40, 241, 88, 153, 0.16, 1.72, 0.02, 0.28
41, 241, 88, 153, 0.16, 1.72, 0.02, 0.28
42, 241, 88, 153, 0.16, 1.72, 0.02, 0.28
43, 242, 89, 153, 0.17, 1.7, 0.02, 0.28
44, 242, 89, 153, 0.17, 1.89, 0.02, 0.28
45, 242, 89, 153, 0.17, 1.93, 0.02, 0.28
46, 242, 89, 153, 0.17, 1.93, 0.02, 0.28
47, 242, 89, 153, 0.17, 1.93, 0.02, 0.28
48, 241, 88, 153, 0.17, 1.93, 0.02, 0.29
49, 241, 88, 153, 0.17, 1.93, 0.02, 0.29
50, 242, 89, 153, 0.18, 1.91, 0.02, 0.29
51, 242, 89, 153, 0.18, 1.91, 0.02, 0.29
52, 242, 89, 153, 0.18, 1.91, 0.02, 0.29
53, 244, 91, 153, 0.2, 1.87, 0.02, 0.29
54, 244, 91, 153, 0.2, 1.89, 0.02, 0.29
55, 245, 92, 153, 0.21, 1.88, 0.02, 0.29
56, 245, 92, 153, 0.21, 1.88, 0.02, 0.29
57, 245, 92, 153, 0.21, 1.88, 0.02, 0.29
58, 246, 93, 153, 0.22, 1.87, 0.02, 0.29
59, 246, 93, 153, 0.22, 1.88, 0.02, 0.29
60, 246, 93, 153, 0.22, 1.89, 0.02, 0.29
61, 246, 93, 153, 0.22, 1.89, 0.02, 0.29
62, 247, 94, 153, 0.22, 1.87, 0.02, 0.29
63, 247, 94, 153, 0.22, 1.88, 0.02, 0.29
64, 242, 88, 154, 0.22, 1.86, 0.03, 0.32
65, 243, 89, 154, 0.22, 1.84, 0.03, 0.32
66, 244, 90, 154, 0.23, 1.96, 0.03, 0.32
67, 244, 90, 154, 0.23, 2.0, 0.03, 0.32
68, 244, 90, 154, 0.23, 2.01, 0.03, 0.32
69, 244, 90, 154, 0.23, 2.01, 0.03, 0.32
70, 245, 91, 154, 0.24, 1.99, 0.03, 0.32
71, 246, 92, 154, 0.25, 1.98, 0.03, 0.32
72, 246, 92, 154, 0.25, 1.99, 0.03, 0.32
73, 246, 92, 154, 0.25, 2.0, 0.03, 0.32
74, 247, 93, 154, 0.26, 1.98, 0.03, 0.32
75, 247, 93, 154, 0.26, 1.99, 0.03, 0.32
76, 247, 93, 154, 0.26, 2.0, 0.03, 0.32
77, 247, 93, 154, 0.26, 2.02, 0.03, 0.32
78, 248, 94, 154, 0.27, 2.01, 0.03, 0.32
79, 248, 94, 154, 0.27, 2.03, 0.03, 0.32
80, 248, 94, 154, 0.28, 2.04, 0.03, 0.33
81, 248, 94, 154, 0.28, 2.05, 0.03, 0.33
82, 250, 95, 155, 0.28, 2.06, 0.03, 0.33
83, 250, 95, 155, 0.28, 2.08, 0.03, 0.33
